Timestamp,id,type,X,Y,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1102394,check-in,99,77,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1187304,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1363700,check-in,99,77,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1449032,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,279658,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1343934,check-in,0,67,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1515950,check-in,0,67,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1767836,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,2059961,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,947415,check-in,0,67,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1003120,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1353153,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,177221,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,955294,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1964353,check-in,0,67,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,400052,check-in,0,67,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1175281,check-in,99,77,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1244133,check-in,99,77,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,166250,check-in,99,77,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,186760,check-in,99,77,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,633804,check-in,99,77,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,657863,movement,7,43,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1175122,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,57612,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1584822,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1772512,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,2081604,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,657863,movement,8,43,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1187304,movement,63,98,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1479633,check-in,0,67,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,203344,check-in,0,67,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,916188,check-in,0,67,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1187304,movement,63,97,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1187304,movement,64,96,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1767836,movement,63,98,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,2059961,movement,64,98,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,657863,movement,9,42,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1187304,movement,65,95,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1363700,movement,98,77,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1767836,movement,63,97,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,2059961,movement,64,97,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,279658,movement,64,98,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1088533,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,122907,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1248154,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1561606,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1760095,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1800062,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,479895,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,546321,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1102394,movement,98,77,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1187304,movement,64,94,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1735326,check-in,0,67,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,2065881,check-in,0,67,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,838026,check-in,0,67,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,854341,check-in,0,67,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1281274,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,488095,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,864833,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1202957,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1406469,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1475524,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1515950,movement,1,67,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1743218,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1767836,movement,64,96,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1994315,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,2059961,movement,63,96,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,352434,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,947415,movement,1,66,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1187304,movement,64,93,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1449032,movement,64,98,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,657863,movement,10,43,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1490658,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1557119,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
6/7/2014 8:00,1693328,check-in,63,99,,,,,,,,,,,,,,,,,,,,,,
