Timestamp,id,type,cx,cy
2014-6-06 08:00:16,1591741,check-in,63,99
2014-6-06 08:00:16,825652,check-in,63,99
2014-6-06 08:00:19,179386,check-in,63,99
2014-6-06 08:00:19,531348,check-in,63,99
2014-6-06 08:00:31,1483004,check-in,0,67
2014-6-06 08:00:31,849521,check-in,0,67
2014-6-06 08:00:38,398396,check-in,99,77
2014-6-06 08:00:38,675561,check-in,99,77
2014-6-06 08:00:40,2007598,check-in,0,67
2014-6-06 08:00:40,455752,check-in,0,67
2014-6-06 08:00:40,1881823,check-in,0,67
2014-6-06 08:00:40,374745,check-in,0,67
2014-6-06 08:00:40,422300,check-in,0,67
2014-6-06 08:00:40,73216,check-in,0,67
2014-6-06 08:00:40,1109689,check-in,0,67
2014-6-06 08:00:40,1007202,check-in,0,67
2014-6-06 08:00:49,1948150,check-in,63,99
2014-6-06 08:00:49,996258,check-in,63,99
2014-6-06 08:00:53,950113,check-in,0,67
2014-6-06 08:00:53,612957,check-in,0,67
2014-6-06 08:00:53,2061906,check-in,0,67
2014-6-06 08:00:53,160360,check-in,0,67
2014-6-06 08:00:54,880166,check-in,63,99
2014-6-06 08:00:54,766183,check-in,63,99
2014-6-06 08:00:54,1871836,check-in,63,99
2014-6-06 08:00:55,879255,check-in,63,99
2014-6-06 08:00:55,11311,check-in,63,99
2014-6-06 08:00:55,483106,check-in,63,99
2014-6-06 08:00:55,483896,check-in,63,99
2014-6-06 08:00:55,539617,check-in,0,67
2014-6-06 08:00:55,932874,check-in,0,67
2014-6-06 08:00:55,698208,check-in,0,67
2014-6-06 08:00:58,531348,movement,63,98
2014-6-06 08:00:59,179386,movement,63,98
2014-6-06 08:00:59,1229412,check-in,99,77
2014-6-06 08:00:59,439105,check-in,99,77
2014-6-06 08:00:59,1053224,check-in,99,77
2014-6-06 08:00:59,580064,check-in,99,77
2014-6-06 08:00:59,1464748,check-in,99,77
2014-6-06 08:00:59,903769,check-in,99,77
2014-6-06 08:00:59,1696241,check-in,99,77
2014-6-06 08:01:03,531348,movement,64,97
2014-6-06 08:01:04,179386,movement,64,97
2014-6-06 08:01:04,825652,movement,64,98
2014-6-06 08:01:05,1591741,movement,64,98
2014-6-06 08:01:05,672552,check-in,63,99
2014-6-06 08:01:07,1772261,check-in,63,99
2014-6-06 08:01:07,741411,check-in,63,99
2014-6-06 08:01:08,531348,movement,64,96
2014-6-06 08:01:09,179386,movement,63,96
2014-6-06 08:01:10,750163,check-in,99,77
2014-6-06 08:01:10,515271,check-in,99,77
2014-6-06 08:01:10,1740708,check-in,99,77
2014-6-06 08:01:10,1987765,check-in,99,77
2014-6-06 08:01:10,84322,check-in,99,77
2014-6-06 08:01:12,825652,movement,64,97
2014-6-06 08:01:13,1591741,movement,64,97
2014-6-06 08:01:13,531348,movement,64,95
2014-6-06 08:01:14,179386,movement,64,95
